,Year,Modle,KM,Hand,CM,Color,Area,Gearbox,Price,IsNew,IsSaved,WithoutAccidents
1223,2018, קיה סטוניק,9500,2,998,כסוף מטאלי,אזור רעננה - כפר סבא,אוטומטית,94000.0,1,0,0
1224,2018, קיה אופטימה,20000,1,1999,לבן,אזור חיפה וחוף הכרמל,אוטומטית,130000.0,1,1,0
1225,2017, קיה פיקנטו,100000,1,1248,אפור עכבר,אזור נס ציונה - רחובות,אוטומטית,50000.0,0,0,0
1226,2017, קיה סיד,120000,2,1591,ברונזה מטאלי,אזור חדרה וישובי עמק חפר,אוטומטית,47000.0,0,1,0
1227,2017, קיה פורטה,150000,2,1591,אפור עכבר,אזור אשדוד - אשקלון,אוטומטית,50000.0,0,1,0
1228,2016, קיה פיקנטו,77000,2,998,אפור,אזור רמלה - לוד,אוטומטית,32000.0,1,1,1
1229,2016, קיה ריו,185000,3,1396,כסף מטלי,אזור עכו - נהריה,אוטומטית,40000.0,0,0,0
1230,2014, קיה פיקנטו,107000,2,1248,כסוף,אזור מושבים בשפלה,אוטומטית,35000.0,0,0,0
1231,2018, קיה פיקנטו,37000,1,1248,ברונזה מטאלי,אזור חיפה וחוף הכרמל,אוטומטית,63000.0,0,1,1
1232,2013, קיה פיקנטו,40000,1,1248,לבן,אזור חולון - בת ים,אוטומטית,40000.0,0,1,1
1233,2012, קיה פיקנטו,66215,4,1248,אפור מטאלי,אזור עכו - נהריה,אוטומטית,33000.0,0,1,0
1234,2012, קיה פיקנטו,160000,3,998,לבן,אזור כרמיאל והסביבה,ידנית,17500.0,1,0,0
1235,2011, קיה פורטה,197000,3,1591,כסוף מטאלי,אזור באר שבע והסביבה,אוטומטית,23500.0,0,1,1
1236,2010, קיה פורטה,226000,5,1591,לבן,אזור מושבים בדרום,אוטומטית,24200.0,0,0,0
1237,2014, קיה פיקנטו,123600,1,998,אדום,אזור נתניה והסביבה,ידנית,27900.0,1,0,0
1238,2013, קיה אופטימה,173000,3,1998,אפור,אזור מושבים בצפון,אוטומטית,40000.0,1,1,0
1239,2017, קיה נירו הייבריד,118000,3,1580,לבן פנינה,אזור גליל ועמקים,אוטומטית,88000.0,0,1,0
1240,2008, קיה קרניבל,205000,3,2902,זהב מטאלי,אזור כרמיאל והסביבה,אוטומטית,13000.0,0,0,0
1241,2015, קיה פיקנטו,59000,2,1248,כחול כהה מטאלי,אזור נתניה והסביבה,אוטומטית,46000.0,0,1,1
1242,2013, קיה פיקנטו,112000,4,998,אדום,אזור ירושלים והסביבה,ידנית,20000.0,1,1,1
1243,2016, קיה פיקנטו,70000,4,1248,לבן,אזור נתניה והסביבה,אוטומטית,38000.0,0,1,0
1244,2014, קיה סיד,180000,3,1591,לבן שנהב,אזור ירושלים והסביבה,אוטומטית,29500.0,0,0,0
1245,2012, קיה פיקנטו,66215,4,1248,אפור מטאלי,אזור עכו - נהריה,אוטומטית,33000.0,0,1,0
1246,2010, קיה פורטה,230000,2,1591,כסוף,אזור רמת השרון - הרצליה,אוטומטית,16500.0,0,0,0
1247,2011, קיה פיקנטו,145000,5,998,אדום,אזור חיפה וחוף הכרמל,ידנית,19000.0,0,0,0
1248,2015, קיה פיקנטו,61000,2,1248,שמפניה,אזור חיפה וחוף הכרמל,אוטומטית,42000.0,1,0,1
1249,2014, קיה פיקנטו,107000,3,1248,אפור עכבר,אזור נתניה והסביבה,אוטומטית,34000.0,1,1,0
1250,2014, קיה פורטה,175000,3,1591,אפור עכבר,אזור באר שבע והסביבה,אוטומטית,30000.0,0,1,0
1251,2012, קיה פיקנטו,149000,2,1248,כסוף,אזור עמק יזרעאל,אוטומטית,32000.0,0,1,0
1252,2014, קיה ריו,163000,4,1248,אפור עכבר,אזור נס ציונה - רחובות,ידנית,20000.0,0,0,0
1253,2011, קיה פורטה,234000,2,1591,לבן,אזור תל אביב,אוטומטית,18500.0,0,0,0
1254,2010, קיה ריו,205000,2,1399,כסוף מטאלי,אזור רמת השרון - הרצליה,אוטומטית,15000.0,0,1,0
1255,2011, קיה פיקנטו,168000,3,998,אפור מטאלי,אזור אשדוד - אשקלון,ידנית,18500.0,1,1,0
1256,2016, קיה פיקנטו,104171,3,1248,כסוף,אזור חולון - בת ים,אוטומטית,44999.0,0,0,0
1257,2012, קיה פורטה,114000,3,1591,לבן,אזור בית שמש והסביבה,אוטומטית,35000.0,0,1,0
1258,2012, קיה ריו,175000,3,1396,שחור,אזור חדרה וישובי עמק חפר,אוטומטית,26800.0,1,0,0
1259,2008, קיה קרניבל,155000,3,2656,אפור מטאלי,"אזור ראשל""צ והסביבה",אוטומטית,26000.0,0,0,0
1260,2016, קיה סול,310000,2,1582,לבן,"אזור ראשל""צ והסביבה",אוטומטית,28000.0,1,1,0
1261,2010, קיה סיד,198000,5,1591,בז’ מטאלי,אזור אשדוד - אשקלון,אוטומטית,17500.0,1,0,0
1262,2018, קיה נירו הייבריד,78500,2,1580,שחור,אזור בית שמש והסביבה,אוטומטית,105000.0,1,1,0
1263,2016, קיה אופטימה,208000,2,1685,לבן פנינה,"אזור ראשל""צ והסביבה",אוטומטית,62000.0,1,0,0
1264,2016, קיה סיד,164000,2,1582,לבן,אזור מודיעין והסביבה,ידנית,40000.0,0,0,0
1265,2012, קיה פיקנטו,160000,2,1248,שחור,אזור ירושלים והסביבה,אוטומטית,30500.0,1,1,1
1266,2015, קיה פיקנטו,132000,2,1248,אפור עכבר,אזור נס ציונה - רחובות,אוטומטית,42500.0,0,1,0
1267,2013, קיה פיקנטו,70000,1,1248,שחור,אזור חולון - בת ים,אוטומטית,37000.0,0,0,0
1268,2017, קיה נירו הייבריד,70000,2,1580,לבן פנינה,אזור רמלה - לוד,אוטומטית,105000.0,0,1,0
1269,2013, קיה פיקנטו,196000,3,998,כסוף,"אזור ראשל""צ והסביבה",ידנית,NaN,1,1,0
1270,2009, קיה קרניבל,148000,2,2902,אפור עכבר,אזור מושבים בצפון,אוטומטית,NaN,0,1,0
1271,2018, קיה קארנס,130000,2,1658,פרטית,אזור גדרה יבנה והסביבה,אוטומטית,NaN,0,1,1
1272,2013, קיה פורטה,204444,2,1591,לבן,אזור תל אביב,אוטומטית,27500.0,0,1,0
1273,2002, קיה קרניבל,140000,1,2900,אפור עכבר,אזור בקעת אונו,אוטומטית,15000.0,0,0,0
1274,2016, קיה קארנס,192000,2,1999,כסוף,אזור אשדוד - אשקלון,אוטומטית,82000.0,0,1,0
1275,2014, קיה פיקנטו,176000,2,998,לבן,אזור מושבים בצפון,ידנית,16999.0,1,1,0
1276,2016, קיה פיקנטו,110000,2,1250,אפור עכבר,אזור תל אביב,אוטומטית,37000.0,0,1,0
1277,2013, קיה ריו,268503,3,1248,אפור,אזור מושבים בצפון,ידנית,15000.0,1,0,0
1278,2014, קיה אופטימה,455000,2,1685,לבן,אזור פתח תקוה והסביבה,אוטומטית,NaN,0,0,0
1279,2016, קיה סיד,190000,2,1582,לבן,אזור חולון - בת ים,אוטומטית,NaN,1,1,1
1280,2014, קיה פיקנטו,137000,3,1248,שחור,אזור עכו - נהריה,אוטומטית,37000.0,0,0,0
1281,2005, קיה ריו,125500,3,1493,לבן,אזור רמת גן - גבעתיים,אוטומטית,6000.0,0,0,0
1282,2015, קיה פיקנטו,132000,2,1248,אפור עכבר,אזור נס ציונה - רחובות,אוטומטית,42500.0,0,1,0
1283,2012, קיה ריו,17000,3,1399,לבן מטאלי,אזור מושבים בדרום,אוטומטית,NaN,0,1,0
1284,2016, קיה פיקנטו,36000,1,1248,כחול כהה מטאלי,אזור תל אביב,אוטומטית,56000.0,1,0,0
1285,2014, קיה ריו,160000,3,1248,לבן מטאלי,אזור מושבים בשפלה,ידנית,29000.0,0,0,0
1286,2020, קיה פיקנטו,56000,1,1248,לבן,אזור חולון - בת ים,אוטומטית,70000.0,0,1,0
1287,2017, קיה קרניבל,103000,1,3342,אפור עכבר,אזור ירושלים והסביבה,אוטומטית,160000.0,0,0,1
1288,2020, קיה פיקנטו,12495,1,1248,שחור מטאלי,אזור פתח תקוה והסביבה,אוטומטית,77000.0,1,0,0
1289,2010, קיה פורטה,360000,3,1591,אפור,אזור פתח תקוה והסביבה,אוטומטית,9500.0,0,0,0
1290,2015, קיה אופטימה,320000,3,1685,לבן,אזור תל אביב,אוטומטית,28500.0,0,0,0
1291,2012, קיה פיקנטו,153000,3,1248,קרם,אזור גדרה יבנה והסביבה,אוטומטית,31000.0,0,1,0
1292,2016, קיה פיקנטו,60000,2,1248,שחור,אזור רמלה - לוד,אוטומטית,44000.0,1,1,0
1293,2018, קיה פיקנטו,27000,2,1197,כסוף,אזור בקעת אונו,אוטומטית,58000.0,1,1,0
1294,2008, קיה מג’נטיס,120000,3,1998,אפור,"אזור ראשל""צ והסביבה",אוטומטית,19000.0,1,1,0
1295,2013, קיה פיקנטו,140000,1,1248,שחור,אזור קריות,אוטומטית,35400.0,1,1,0
1296,2017, קיה נירו EV,71266,1,1580,כחול כהה,אזור חולון - בת ים,אוטומטית,96000.0,0,0,0
1297,2021, קיה סטוניק,5000,1,1368,שחור,אזור באר שבע והסביבה,אוטומטית,100500.0,1,0,0
1298,2017, קיה נירו הייבריד,160000,1,1580,אפור עכבר,אזור פתח תקוה והסביבה,אוטומטית,NaN,0,0,0
1299,2018, קיה פיקנטו,4500,1,998,כסוף,אזור רעננה - כפר סבא,אוטומטית,54000.0,1,0,0
1300,2018, קיה ריו,83000,2,1591,לבן,אזור פתח תקוה והסביבה,אוטומטית,52000.0,1,1,0
1301,2016, קיה ריו,161000,1,1396,לבן,אזור כרמיאל והסביבה,אוטומטית,42000.0,0,1,1
1302,2019, קיה פיקנטו,35000,1,1248,לבן,אזור באר שבע והסביבה,אוטומטית,72000.0,0,1,0
1303,2021, קיה פיקנטו,8000,1,1248,לבן פנינה,אזור נס ציונה - רחובות,אוטומטית,87000.0,1,0,0
1304,2017, קיה פיקנטו,85000,3,1248,אפור,אזור חיפה וחוף הכרמל,אוטומטית,45000.0,1,1,0
1305,2018, קיה סטוניק,27000,1,998,שחור מטאלי,"אזור ראשל""צ והסביבה",אוטומטית,90000.0,0,0,0
1306,2017, קיה פיקנטו,25000,1,998,כסוף,אזור באר שבע והסביבה,אוטומטית,52000.0,0,1,1
1307,2020, קיה סטוניק,5600,1,1368,אפור עכבר,אזור בקעת אונו,אוטומטית,103000.0,0,0,0
1308,2018, קיה פיקנטו,34000,1,1248,לבן,אזור רמת גן - גבעתיים,אוטומטית,68000.0,1,1,0
1309,2020, קיה סטוניק,29000,3,998,לבן,אזור מושבים בצפון,אוטומטית,85000.0,0,1,0
1310,2015, קיה פיקנטו,120000,2,1248,כסוף מטאלי,אזור מושבים במרכז,אוטומטית,40000.0,0,1,0
1311,2017, קיה קרניבל,103000,1,3342,אפור עכבר,אזור ירושלים והסביבה,אוטומטית,160000.0,0,0,1
1312,2019, קיה ריו,58500,3,1368,לבן מטאלי,אזור אשדוד - אשקלון,אוטומטית,63000.0,0,1,0
1313,2019, קיה קרניבל,29800,1,3342,לבן מטאלי,אזור רמת גן - גבעתיים,אוטומטית,210000.0,0,1,1
1314,2017, קיה פיקנטו,45100,1,1248,אפור מטאלי,אזור יישובי השומרון,אוטומטית,64700.0,1,0,0
1315,2016, קיה נירו הייבריד,75000,1,1580,לבן,אזור באר שבע והסביבה,אוטומטית,90000.0,1,0,0
1316,2016, קיה סיד,212000,2,1582,לבן פנינה,אזור רמלה - לוד,אוטומטית,52000.0,1,1,0
1317,2015, קיה פורטה,150000,2,1591,אפור מטאלי,אזור חדרה וישובי עמק חפר,אוטומטית,40000.0,0,1,0
1318,2018, קיה פיקנטו,27000,2,1248,כסוף,אזור זכרון - בנימינה,אוטומטית,63000.0,1,0,1
1319,2017, קיה נירו הייבריד,77500,1,1580,לבן פנינה,אזור יישובי השומרון,אוטומטית,95000.0,0,0,1
1320,2018, קיה נירו הייבריד,145000,3,1580,כחול כהה,אזור באר שבע והסביבה,אוטומטית,88000.0,1,1,1
1321,2014, קיה פיקנטו,155000,2,998,בז’,אזור ירושלים והסביבה,ידנית,19990.0,0,1,0
1322,2015, קיה סיד,165000,2,1591,אפור מטאלי,אזור פתח תקוה והסביבה,אוטומטית,35000.0,0,0,0
1323,2013, קיה פיקנטו,150000,2,998,קרם,אזור באר שבע והסביבה,ידנית,22000.0,0,0,0
1324,2015, קיה פיקנטו,132000,4,1248,לבן,אזור אשדוד - אשקלון,אוטומטית,36000.0,0,1,0
1325,2012, קיה ריו,207000,3,1396,שחור מטאלי,אזור מושבים בדרום,אוטומטית,25000.0,1,1,0
1326,2016, קיה פיקנטו,73500,3,1248,לבן,"אזור ראשל""צ והסביבה",אוטומטית,48000.0,0,1,0
1327,2012, קיה ריו,233000,3,1396,כסוף,אזור בית שמש והסביבה,אוטומטית,22000.0,0,1,0
1328,2014, קיה פורטה,190000,4,1591,לבן,אזור בית שמש והסביבה,אוטומטית,27500.0,1,1,0
1329,2010, קיה סיד,161800,2,1591,אפור עכבר,אזור מושבים בצפון,אוטומטית,24000.0,1,0,0
1330,2006, קיה סראטו,210000,3,1599,כחול בהיר מטאלי,אזור חיפה וחוף הכרמל,אוטומטית,12300.0,0,0,0
1331,2015, קיה פיקנטו,58000,5,1248,לבן,אזור עכו - נהריה,ידנית,40000.0,1,1,0
1332,2011, קיה פיקנטו,213000,3,998,צהוב,אזור ירושלים והסביבה,ידנית,10000.0,0,0,0
1333,2014, קיה פיקנטו,105000,3,1248,ברונזה מטאלי,אזור ירושלים והסביבה,אוטומטית,38000.0,1,1,0
1334,2013, קיה פיקנטו,85000,3,1248,לבן,אזור אשדוד - אשקלון,אוטומטית,36000.0,1,1,1
1335,2013, קיה ריו,168000,3,1248,אפור עכבר,אזור תל אביב,ידנית,19000.0,0,1,0
1336,2009, קיה ריו,316000,4,1399,לבן,אזור מושבים בצפון,אוטומטית,9800.0,0,0,0
1337,2018, קיה ריו,65000,2,1368,אפור,"אזור ראשל""צ והסביבה",אוטומטית,65000.0,0,1,1
1338,2017, קיה פיקנטו,55000,1,1248,שחור,אזור רמת גן - גבעתיים,אוטומטית,55000.0,1,0,0
1339,2014, קיה פיקנטו,120000,2,998,אדום,אזור חיפה וחוף הכרמל,ידנית,19000.0,0,1,0
1340,2010, קיה פורטה,207000,3,1591,כסוף,אזור באר שבע והסביבה,אוטומטית,21000.0,0,1,0
1341,2012, קיה פיקנטו,188000,1,1248,חרדל,אזור חולון - בת ים,אוטומטית,32000.0,0,0,0
1342,2014, קיה פיקנטו,177000,1,998,אפור,אזור נס ציונה - רחובות,ידנית,17000.0,0,0,0
1343,2011, קיה פיקנטו,160000,4,998,לבן,אזור רמלה - לוד,ידנית,16000.0,1,0,0
1344,2013, קיה פיקנטו,130500,2,998,אפור מטאלי,אזור רמת השרון - הרצליה,ידנית,16000.0,1,0,0
1345,2013, קיה פיקנטו,113000,3,1248,אפור,אזור רמת גן - גבעתיים,אוטומטית,35000.0,1,0,0
1346,2013, קיה פיקנטו,155000,2,998,אפור מטאלי,אזור מודיעין והסביבה,ידנית,15000.0,1,0,0
1347,2013, קיה ריו,209000,2,1396,לבן פנינה,אזור עכו - נהריה,אוטומטית,26900.0,1,1,1
1348,2010, קיה פורטה,212000,3,1591,לבן,אזור גדרה יבנה והסביבה,אוטומטית,NaN,0,1,0
1349,2011, קיה פורטה,210000,3,1591,לבן,אזור מושבים בשפלה,אוטומטית,19990.0,0,1,0
1350,2017, קיה נירו הייבריד,144000,1,1580,אפור עכבר,אזור יישובי השומרון,אוטומטית,84000.0,0,1,0
1351,2011, קיה קרניבל,314500,3,2902,לבן שנהב,אזור מושבים בשפלה,אוטומטית,41500.0,1,1,0
1352,2014, קיה פיקנטו,120000,2,998,אדום,אזור חיפה וחוף הכרמל,ידנית,19000.0,0,1,0
1353,2017, קיה ריו,120000,2,1396,אפור מטאלי,אזור פתח תקוה והסביבה,אוטומטית,NaN,0,0,0
1354,2008, קיה קרניבל,201000,2,2902,ברונזה מטאלי,אזור באר שבע והסביבה,אוטומטית,25000.0,0,1,0
1355,2009, קיה ריו,316000,4,1399,לבן,אזור מושבים בצפון,אוטומטית,9800.0,0,0,0
1356,2010, קיה ריו,200000,3,1399,לבן,אזור תל אביב,אוטומטית,12500.0,0,1,0
1357,2016, קיה סיד,272000,2,1582,לבן,אזור נתניה והסביבה,ידנית,17000.0,0,1,0
1358,2016, קיה סיד,165000,2,1591,אפור מטאלי,אזור ירושלים והסביבה,אוטומטית,38000.0,0,0,0
1359,2011, קיה פורטה,270000,2,1591,כסוף,אזור רמלה - לוד,אוטומטית,14000.0,0,1,0
1360,2016, קיה קרניבל,163000,2,3342,שחור,אזור נתניה והסביבה,אוטומטית,128500.0,0,1,0
1361,2017, קיה נירו EV,126000,3,1580,טורקיז,אזור חיפה וחוף הכרמל,אוטומטית,84499.0,0,0,0
1362,2018, קיה קרניבל,32000,1,3342,שחור,אזור חיפה וחוף הכרמל,אוטומטית,181000.0,0,0,0
1363,2017, קיה פיקנטו,70000,2,1248,כסוף,אזור קריות,אוטומטית,55000.0,1,1,0
1364,2015, קיה פורטה,148000,2,1591,אפור מטאלי,אזור נתניה והסביבה,אוטומטית,36900.0,0,1,1
1365,2018, קיה פיקנטו,93000,2,1248,כסוף,אזור ירושלים והסביבה,אוטומטית,53000.0,1,1,0
1366,2017, קיה קרניבל,85869,1,3342,כסוף,אזור פתח תקוה והסביבה,אוטומטית,155000.0,0,0,0
1367,2017, קיה פורטה,130000,9,1591,לבן,אזור באר שבע והסביבה,אוטומטית,43000.0,0,1,0
1368,2019, קיה סטוניק,60000,1,998,אדום,אזור פתח תקוה והסביבה,אוטומטית,95000.0,0,1,0
1369,2020, קיה פיקנטו,45000,1,1248,לבן,אזור חיפה וחוף הכרמל,אוטומטית,75000.0,0,0,0
1370,2015, קיה ריו,120000,2,1396,לבן,אזור בית שמש והסביבה,אוטומטית,34000.0,0,1,0
1371,2016, קיה פיקנטו,95000,1,1248,אדום,אזור ירושלים והסביבה,אוטומטית,53000.0,0,1,0
1372,2015, קיה פיקנטו,150000,2,1248,לבן,אזור חדרה וישובי עמק חפר,אוטומטית,30000.0,0,1,0
1373,2017, קיה קרניבל,135000,1,3342,שחור,אזור רמת השרון - הרצליה,אוטומטית,159500.0,0,0,0
1374,2013, קיה פיקנטו,140658,2,998,שחור,אזור פתח תקוה והסביבה,ידנית,22000.0,1,1,0
1375,2016, קיה פיקנטו,83000,2,1248,בז’ מטאלי,אזור רמת גן - גבעתיים,אוטומטית,47000.0,0,1,1
1376,2017, קיה נירו הייבריד,140000,1,1580,לבן,אזור מושבים בצפון,אוטומטית,83000.0,0,0,0
1377,2016, קיה סיד,178000,2,1582,לבן,אזור מושבים בצפון,אוטומטית,40000.0,0,1,0
1378,2018, קיה נירו הייבריד,125000,2,1580,אפור עכבר,אזור אשדוד - אשקלון,אוטומטית,88000.0,0,1,1
1379,2017, קיה פיקנטו,65000,1,1248,לבן,אזור נתניה והסביבה,אוטומטית,57000.0,0,1,0
1380,2015, קיה סיד,155000,3,1591,שמפניה,אזור יישובי השומרון,אוטומטית,34000.0,0,0,1
1381,2006, קיה קרניבל,220000,5,2902,לבן מטאלי,אזור מושבים בשפלה,אוטומטית,15000.0,0,1,0
1382,2011, קיה פיקנטו,187000,3,1248,לבן,אזור קריות,אוטומטית,34000.0,0,1,1
1383,2013, קיה ריו,271000,3,1396,לבן,אזור בית שמש והסביבה,ידנית,18000.0,1,0,0
1384,2012, קיה פורטה,190000,3,1591,אפור עכבר,אזור באר שבע והסביבה,אוטומטית,22000.0,0,0,0
1385,2018, קיה קרניבל,23000,1,3342,שחור מטאלי,אזור חיפה וחוף הכרמל,אוטומטית,NaN,1,0,1
1386,2016, קיה קרניבל,100000,2,3342,שחור,אזור רמת השרון - הרצליה,אוטומטית,135000.0,0,1,0
1387,2015, קיה פורטה,169000,2,1591,כסוף,אזור פתח תקוה והסביבה,אוטומטית,32000.0,0,0,0
1388,2015, קיה פיקנטו,121000,2,1248,לבן,אזור רמת השרון - הרצליה,אוטומטית,41000.0,0,1,1
1389,2021, קיה נירו הייבריד,24000,1,1580,לבן פנינה,אזור זכרון - בנימינה,אוטומטית,135000.0,0,0,0
1390,2018, קיה נירו EV,66000,1,0,לבן פנינה,אזור עכו - נהריה,אוטומטית,NaN,0,1,1
1391,2013, קיה פיקנטו,107000,2,1248,כסוף,אזור עכו - נהריה,אוטומטית,35000.0,1,0,1
1392,2017, קיה פיקנטו,59000,1,1248,לבן מטאלי,"אזור ראשל""צ והסביבה",אוטומטית,60000.0,1,0,0
1393,2016, קיה סיד,281500,2,1591,לבן,אזור חולון - בת ים,אוטומטית,34000.0,1,1,1
1394,2011, קיה פיקנטו,88000,1,1248,כסוף,אזור רמת השרון - הרצליה,אוטומטית,36000.0,1,0,1
1395,2010, קיה קרניבל,230000,3,2656,לבן,אזור חדרה וישובי עמק חפר,אוטומטית,30000.0,1,1,0
1396,2012, קיה ריו,107000,3,1396,אפור מטאלי,אזור מושבים בצפון,אוטומטית,14000.0,1,1,0
1397,2009, קיה פורטה,266000,3,1591,לבן,אזור מושבים בשפלה,אוטומטית,16000.0,0,0,0
1398,2014, קיה סיד,182000,1,1591,לבן מטאלי,"אזור ראשל""צ והסביבה",אוטומטית,32000.0,0,0,0
1399,2020, קיה נירו הייבריד,35000,1,1580,לבן,אזור נתניה והסביבה,אוטומטית,139000.0,0,1,0
1400,2021, סיאט איביזה,12000,2,999,לבן שנהב,אזור רמת גן - גבעתיים,אוטומטית,112000.0,1,0,0
1401,2015, סיאט לאון,147000,1,1200,לבן,אזור מושבים בשרון,אוטומטית,44000.0,0,0,0
1402,2015, סיאט איביזה,118000,1,1200,לבן,אזור מושבים בשרון,אוטומטית,42000.0,0,1,0
1403,2018, סיאט ארו,42500,1,999,לבן,אזור יישובי השומרון,אוטומטית,90000.0,0,0,0
1404,2015, סיאט לאון,59000,2,1800,שחור,אזור מושבים בשרון,אוטומטית,93000.0,0,0,0
1405,2013, סיאט לאון,136000,3,1800,שחור,אזור מושבים בשרון,אוטומטית,37000.0,0,1,0
1406,2018, סיאט לאון,57000,1,999,אפור עכבר,אזור באר שבע והסביבה,אוטומטית,83000.0,1,0,0
1407,2020, סיאט איביזה,6000,1,999,אדום,אזור חיפה וחוף הכרמל,אוטומטית,109000.0,1,1,0
1408,2018, סיאט איביזה,64000,1,999,לבן פנינה,אזור חיפה וחוף הכרמל,ידנית,59000.0,1,1,0
1409,2018, סיאט איביזה,87000,1,1000,שחור מטאלי,אזור מושבים בצפון,ידנית,52000.0,0,1,0
1410,2009, סיאט איביזה,190000,4,1600,אפור,אזור מושבים בצפון,אוטומטית,23000.0,1,1,0
1411,2017, סיאט לאון,78000,1,1798,לבן שנהב,אזור חיפה וחוף הכרמל,אוטומטית,116000.0,1,1,0
1412,2003, סיאט איביזה,320000,3,1390,תכלת,אזור חיפה וחוף הכרמל,ידנית,2900.0,0,0,0
1413,2003, סיאט איביזה,320000,3,1390,תכלת,אזור חיפה וחוף הכרמל,ידנית,2500.0,0,0,0
1414,2013, סיאט לאון,150000,2,1800,אפור מטאלי,אזור רמת השרון - הרצליה,אוטומטית,40000.0,0,1,0
1415,2011, סיאט איביזה,103000,4,1400,לבן שנהב,אזור בית שמש והסביבה,אוטומטית,41000.0,1,1,0
1416,2019, סיאט איביזה,56000,1,1000,שחור מטאלי,אזור חיפה וחוף הכרמל,אוטומטית,90000.0,1,0,1
1417,2017, סיאט מיי,64619,1,999,כחול כהה,"אזור ראשל""צ והסביבה",אוטומטית,39000.0,0,0,0
1418,2011, סיאט איביזה,169000,4,1390,שחור,אזור גליל ועמקים,ידנית,26000.0,1,1,0
1419,2020, סיאט איביזה,8000,1,999,שחור מטאלי,אזור ירושלים והסביבה,אוטומטית,112000.0,1,1,1
1420,2018, סיאט איביזה,145000,2,999,כחול,אזור מושבים בצפון,אוטומטית,75000.0,1,0,0
1421,2016, סיאט לאון,152000,4,1197,לבן,אזור יישובי השומרון,אוטומטית,43000.0,0,1,0
1422,2016, סיאט לאון,83200,1,1984,לבן פנינה,אזור רמת גן - גבעתיים,אוטומטית,150000.0,0,1,0
1423,2014, סיאט איביזה,83500,2,1197,לבן,אזור תל אביב,ידנית,43900.0,0,0,0
1424,2015, סיאט לאון,102378,2,1798,לבן שנהב,אזור יישובי השומרון,אוטומטית,98000.0,0,0,0
1425,2015, סיאט איביזה,191000,1,1197,כסוף,אזור ירושלים והסביבה,אוטומטית,42000.0,0,1,0
1426,2013, סיאט לאון,160000,2,1197,לבן פנינה,אזור פתח תקוה והסביבה,אוטומטית,55000.0,0,0,0
1427,2013, סיאט איביזה,200000,2,1197,אפור מטאלי,אזור קריות,אוטומטית,25000.0,1,1,0
1428,2013, סיאט לאון,130000,3,1798,אפור מטאלי,אזור בית שמש והסביבה,אוטומטית,40000.0,0,1,0
1429,2002, סיאט לאון,107000,5,1595,כחול כהה,אזור באר שבע והסביבה,אוטומטית,8000.0,1,1,0
1430,2011, סיאט איביזה,170000,1,1197,לבן,אזור נתניה והסביבה,אוטומטית,30000.0,0,1,0
1431,2013, סיאט איביזה,198000,5,1390,לבן,אזור גליל ועמקים,ידנית,19500.0,0,1,0
1432,2012, סיאט לאון,140000,3,1789,שחור,אזור מושבים בצפון,אוטומטית,34000.0,0,0,0
1433,2011, סיאט לאון,124000,4,1789,אפור עכבר,אזור ירושלים והסביבה,ידנית,43000.0,0,1,0
1434,2011, סיאט איביזה,120000,2,1197,לבן שנהב,אזור עכו - נהריה,אוטומטית,32000.0,0,0,0
1435,2012, סיאט איביזה,179000,2,1390,לבן,אזור יישובי השומרון,ידנית,23500.0,0,1,0
1436,2012, סיאט לאון,217000,3,1789,אפור,אזור קריות,ידנית,46000.0,1,0,0
1437,2005, סיאט לאון,157000,6,1781,שחור,אזור רמלה - לוד,ידנית,45000.0,1,1,0
1438,2010, סיאט איביזה,143000,2,1598,אדום,אזור פתח תקוה והסביבה,ידנית,23000.0,0,0,0
1439,2009, סיאט איביזה,210000,4,1598,שחור מטאלי,אזור באר שבע והסביבה,אוטומטית,17000.0,1,0,0
1440,2016, סיאט לאון,70000,4,1984,שחור מטאלי,אזור עמק יזרעאל,אוטומטית,158000.0,1,1,1
1441,2021, סיאט לאון,19000,1,1498,שחור מטאלי,אזור באר שבע והסביבה,אוטומטית,157000.0,1,1,0
1442,2015, סיאט איביזה,60000,1,1197,כחול,אזור עכו - נהריה,אוטומטית,43000.0,0,0,0
1443,2011, סיאט איביזה,152200,4,1197,לבן,אזור מושבים בצפון,אוטומטית,25000.0,0,0,0
1444,2011, סיאט איביזה,180000,4,1598,שחור מטאלי,אזור מושבים בצפון,אוטומטית,20000.0,0,0,0
1445,2011, סיאט איביזה,185000,4,1390,שחור,אזור פתח תקוה והסביבה,ידנית,20000.0,0,1,0
1446,2018, סיאט איביזה,68000,1,999,לבן שנהב,אזור נס ציונה - רחובות,אוטומטית,89000.0,1,1,0
1447,2014, סיאט לאון,99800,2,1798,אדום,אזור באר שבע והסביבה,אוטומטית,86000.0,0,0,1
1448,2015, סיאט איביזה,180000,1,1197,לבן,אזור רעננה - כפר סבא,אוטומטית,29000.0,0,0,0
1449,2016, סיאט איביזה,124000,1,1798,לבן שנהב,אזור עכו - נהריה,ידנית,77000.0,0,0,0
1450,2016, סיאט איביזה,99500,1,999,לבן,אזור זכרון - בנימינה,אוטומטית,57000.0,0,1,0
1451,2008, סיאט איביזה,185000,5,1781,שחור,אזור ירושלים והסביבה,ידנית,30000.0,0,0,0
1452,2018, סיאט לאון,90000,1,1798,לבן פנינה,אזור תל אביב,אוטומטית,117000.0,0,0,1
1453,2014, סיאט איביזה,145000,3,1390,לבן,אזור ירושלים והסביבה,ידנית,25000.0,1,0,0
