,Year,Modle,KM,Hand,CM,Color,Area,Gearbox,Price,IsNew,IsSaved,WithoutAccidents
52,2009, מאזדה 3,147000,3,1598,כחול כהה מטאלי,אזור בית שמש והסביבה,אוטומטית,17000.0,0,0,0
53,2009, מאזדה 5,240000,4,1999,שחור,אזור חיפה וחוף הכרמל,אוטומטית,20000.0,0,0,0
54,2011, מאזדה 3,130000,3,1598,שחור מטאלי,אזור נס ציונה - רחובות,אוטומטית,30000.0,1,0,0
55,2011, מאזדה 3,160000,4,1598,שחור,אזור חדרה וישובי עמק חפר,אוטומטית,25000.0,1,1,0
56,2012, מאזדה 5,93500,1,1999,אפור,אזור חיפה וחוף הכרמל,אוטומטית,63500.0,0,0,0
57,2009, מאזדה 6,200000,4,1999,כסוף,אזור פתח תקוה והסביבה,אוטומטית,22000.0,1,0,0
58,2010, מאזדה 5,160000,2,1999,אפור,"אזור ראשל""צ והסביבה",אוטומטית,34000.0,0,1,0
59,2009, מאזדה 6,230000,5,1999,כסוף מטאלי,אזור באר שבע והסביבה,אוטומטית,20000.0,0,0,0
60,2015, מאזדה 3,43000,3,1998,אדום,אזור חיפה וחוף הכרמל,אוטומטית,NaN,0,1,0
61,1999, מאזדה 626,320000,3,1991,כחול,אזור ירושלים והסביבה,אוטומטית,5000.0,0,1,0
62,2016, מאזדה 6,135000,3,1998,כחול כהה,אזור בית שמש והסביבה,אוטומטית,65000.0,0,0,0
63,2003, מאזדה 323,190000,3,1598,חום,אזור מושבים בצפון,אוטומטית,NaN,1,0,0
64,2015, מאזדה 2,113000,2,1498,אפור עכבר,אזור נס ציונה - רחובות,אוטומטית,39999.0,0,0,0
65,2010, מאזדה 3,185000,4,1598,שחור,אזור חולון - בת ים,אוטומטית,21000.0,1,0,0
66,2008, מאזדה 3,130000,2,2000,אפור עכבר,אזור חולון - בת ים,אוטומטית,19000.0,0,1,0
67,2016, מאזדה 3,48000,1,2000,פרטית,אזור מושבים במרכז,אוטומטית,20000.0,0,0,0
68,2010, מאזדה 6,140000,3,1999,אפור מטאלי,אזור עכו - נהריה,אוטומטית,20000.0,0,0,0
69,2016, מאזדה 3,131000,2,1496,לבן פנינה,אזור עכו - נהריה,אוטומטית,50000.0,0,1,1
70,2016, מאזדה 3,63000,1,1998,כסוף מטאלי,אזור עכו - נהריה,אוטומטית,81500.0,1,0,1
71,2007, מאזדה MPV,205000,2,2967,כסוף,אזור ירושלים והסביבה,אוטומטית,16000.0,0,1,0
72,2014, מאזדה 3,129000,4,1496,אפור מטאלי,אזור תל אביב,אוטומטית,55000.0,0,1,0
73,2008, מאזדה 2,176000,4,1498,אפור,אזור מושבים בצפון,אוטומטית,17000.0,0,0,0
74,2008, מאזדה 3,189000,4,1500,פרטית,אזור רעננה - כפר סבא,אוטומטית,16500.0,0,1,0
75,2005, מאזדה 3,230000,6,1598,אפור מטאלי,אזור אשדוד - אשקלון,אוטומטית,10000.0,0,1,0
76,2015, מאזדה 5,186500,1,2000,חום,אזור יישובי השומרון,אוטומטית,69300.0,0,0,0
77,2006, מאזדה 3,340000,5,1600,כחול,אזור נתניה והסביבה,אוטומטית,7000.0,0,0,0
78,2004, מאזדה 6,184000,3,2261,כסוף מטאלי,אזור כרמיאל והסביבה,אוטומטית,NaN,1,1,0
79,2009, מאזדה 2,185000,2,1498,סגול חציל,אזור ירושלים והסביבה,אוטומטית,NaN,0,1,0
80,2018, מאזדה 2,44000,1,1496,לבן פנינה,אזור רעננה - כפר סבא,אוטומטית,NaN,0,1,0
81,2003, מאזדה 323,190000,3,1598,חום,אזור מושבים בצפון,אוטומטית,NaN,1,0,0
82,2015, מאזדה 2,113000,2,1498,אפור עכבר,אזור נס ציונה - רחובות,אוטומטית,39999.0,0,0,0
83,2016, מאזדה 6,135000,3,1998,כחול כהה,אזור בית שמש והסביבה,אוטומטית,65000.0,0,0,0
84,2011, מאזדה 5,188000,2,1999,לבן,אזור עמק יזרעאל,אוטומטית,70000.0,1,0,0
85,2008, מאזדה 3,168000,1,1598,ירוק בהיר,אזור רמת גן - גבעתיים,אוטומטית,18500.0,0,0,0
86,2004, מאזדה 3,176000,3,1999,כסוף,אזור באר שבע והסביבה,אוטומטית,17500.0,1,1,0
87,2006, מאזדה 5,233000,3,1999,כחול כהה,אזור ירושלים והסביבה,אוטומטית,13500.0,0,0,0
88,2001, מאזדה 626,98000,2,1991,כחול בהיר,אזור רמלה - לוד,אוטומטית,15000.0,0,1,0
89,2006, מאזדה 3,163000,2,1598,אפור מטאלי,אזור רמת השרון - הרצליה,אוטומטית,11767.0,0,0,0
90,2002, מאזדה 626,311000,4,1991,תכלת מטאלי,אזור מושבים בצפון,אוטומטית,7000.0,0,0,1
91,2003, מאזדה 6,220000,1,1999,פלטינה,אזור מושבים בצפון,אוטומטית,12000.0,0,1,0
92,2007, מאזדה 5,290000,5,1999,כחול כהה,אזור גדרה יבנה והסביבה,אוטומטית,13500.0,1,0,0
